"Host/IP","Port","Login","Password","Type","Level","Country","Tag(s)","Speed","Alive","Can Resolve Domain to IP"
"16.78.108.50","10112","","","CONNECT","Elite","INDONESIA","Public","0,270","31m",-
"16.78.105.11","13969","","","CONNECT","Elite","INDONESIA","Public","0,264","34m",-
"16.78.105.11","2819","","","CONNECT","Elite","INDONESIA","Public","0,264","33m",X
"16.78.41.33","17327","","","CONNECT","Elite","INDONESIA","Public","0,259","38m",-
"16.78.108.50","197","","","SOCKS4","Elite","INDONESIA","Public","0,260","22m",-
"16.78.108.50","493","","","CONNECT","Elite","INDONESIA","Public supremenewyork","0,258","38m",X
"16.78.108.50","537","","","CONNECT","Elite","INDONESIA","Public","0,257","31m",-
"16.78.82.73","9177","","","CONNECT","Elite","INDONESIA","Public supremenewyork","0,259","39m",-
"16.78.82.73","9185","","","CONNECT","Elite","INDONESIA","Public","0,254","13m",-
"16.78.93.162","9255","","","CONNECT","Elite","INDONESIA","Public SSL","0,260","21m",-
"18.143.167.190","9480","","","CONNECT","Elite","SINGAPORE","Public supremenewyork","0,244","39m",-
"18.143.165.238","9200","","","CONNECT","Elite","SINGAPORE","Public supremenewyork","0,248","33m",X
"18.143.173.102","10016","","","CONNECT","Elite","SINGAPORE","Public","0,251","33m",-
"18.143.173.102","9052","","","CONNECT","Elite","SINGAPORE","Public","0,249","18m",X
"18.143.165.238","270","","","CONNECT","Elite","SINGAPORE","Public supremenewyork","0,244","39m",X
"18.163.16.157","8080","","","CONNECT","Elite","HONG KONG","Public supremenewyork","0,252","38m",X
"18.179.12.21","538","","","CONNECT","Elite","JAPAN","Public supremenewyork","0,245","33m",-
"18.179.12.21","55781","","","CONNECT","Elite","JAPAN","Public SSL","0,256","22m",-
"18.183.141.82","34235","","","CONNECT","Elite","JAPAN","Public supremenewyork","0,247","40m",X
"18.183.141.82","39685","","","CONNECT","Elite","JAPAN","Public supremenewyork","0,248","35m",-
"18.183.141.82","5550","","","CONNECT","Elite","JAPAN","Public","0,260","14m",-
"18.226.170.181","133","","","CONNECT","Elite","UNITED STATES","Public","0,106","24m",-
"18.226.170.181","29","","","CONNECT","Elite","UNITED STATES","Public Facebook supremenewyork","0,108","37m",X
"23.237.210.82","80","","","WEB","Transparent","UNITED STATES","Public","0,139","35m",X
"27.74.215.131","30245","","","CONNECT","Elite","VIETNAM","Public SSL","0,201","24m",X
"27.147.130.9","46","","","CONNECT","Elite","BANGLADESH","Public supremenewyork","1,276","31m",X
"27.147.131.198","46","","","CONNECT","Elite","BANGLADESH","Public supremenewyork","0,238","36m",-
"31.131.135.247","4153","","","SOCKS4","Elite","UKRAINE","Public","0,105","39m",-
"34.101.218.77","3128","","","WEB","Transparent","INDONESIA","Public","0,210","21m",X
"34.122.187.196","80","","","WEB","Elite","UNITED STATES","Public","0,113","21m",X
"34.216.224.9","32241","","","CONNECT","Elite","UNITED STATES","Public","0,183","34m",-
"34.216.224.9","10036","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,177","39m",-
"34.222.65.100","10112","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,176","35m",X
"35.152.140.120","9792","","","CONNECT","Elite","ITALY","Public","0,035","15m",-
"35.183.64.191","104","","","CONNECT","Elite","CANADA","Public supremenewyork","0,105","40m",X
"35.183.64.191","9443","","","CONNECT","Elite","CANADA","Public SSL","0,105","12m",-
"35.183.64.191","9480","","","CONNECT","Elite","CANADA","Public Google SSL","0,104","22m",X
"35.183.64.191","10089","","","CONNECT","Elite","CANADA","Public supremenewyork","0,104","34m",-
"35.209.198.222","80","","","WEB","Elite","UNITED STATES","Public","0,124","23m",X
"35.243.0.245","80","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","32m",-
"35.243.0.249","80","","","CONNECT","Elite","UNITED STATES","Public SSL","0,160","17m",-
"35.243.1.4","443","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","34m",-
"35.243.0.249","443","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","21m",-
"35.243.0.243","443","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","13m",-
"35.243.0.245","443","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","39m",-
"35.243.1.4","80","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","34m",X
"35.243.0.249","3128","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","20m",X
"35.243.0.243","3128","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","24m",-
"35.243.0.245","3128","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,159","39m",-
"35.243.0.243","9443","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","32m",-
"35.243.0.245","9443","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","15m",-
"35.243.0.249","9443","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","14m",-
"35.243.0.249","9401","","","CONNECT","Elite","UNITED STATES","Public SSL","0,160","15m",-
"35.243.0.249","9400","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","21m",X
"35.243.0.243","9401","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","24m",-
"35.243.0.243","9400","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","30m",-
"35.243.0.245","9401","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","37m",X
"35.243.1.4","9400","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","37m",X
"35.243.1.4","9401","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","39m",-
"35.243.1.4","9443","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","34m",-
"35.243.0.249","9480","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","18m",-
"35.243.0.243","9480","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","34m",X
"35.243.0.245","9480","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","33m",-
"35.243.1.4","10004","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","18m",-
"35.243.1.4","10006","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","20m",-
"35.243.1.4","10007","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","13m",-
"35.243.1.4","10000","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","35m",-
"35.243.1.4","10001","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","18m",X
"35.243.1.4","10003","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,160","38m",-
"35.243.1.4","10012","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","36m",X
"35.243.1.4","10015","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","34m",-
"35.243.1.4","10020","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","22m",-
"35.243.1.4","10021","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","39m",-
"35.243.1.4","10022","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,159","40m",-
"35.243.1.4","10016","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","31m",X
"35.243.1.4","10017","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","15m",X
"35.243.1.4","10028","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","17m",-
"35.243.1.4","10030","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,160","34m",-
"35.243.1.4","10025","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","33m",-
"35.243.1.4","10026","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","34m",X
"35.243.1.4","10027","","","CONNECT","Elite","UNITED STATES","Public SSL","0,154","21m",X
"35.243.1.4","10037","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","33m",-
"35.243.1.4","10038","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","39m",-
"35.243.1.4","10032","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","32m",-
"35.243.1.4","10033","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","31m",-
"35.243.1.4","10034","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","35m",X
"35.243.1.4","10046","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","19m",-
"35.243.1.4","10040","","","CONNECT","Elite","UNITED STATES","Public SSL","0,154","22m",X
"35.243.1.4","10042","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","35m",-
"35.243.1.4","10055","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","18m",X
"35.243.1.4","10049","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","39m",X
"35.243.1.4","10050","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","22m",-
"35.243.1.4","10051","","","CONNECT","Elite","UNITED STATES","Public SSL","0,160","24m",-
"35.243.1.4","10056","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","36m",-
"35.243.1.4","10068","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","38m",-
"35.243.1.4","10069","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","20m",-
"35.243.1.4","10070","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","13m",-
"35.243.1.4","10071","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","37m",-
"35.243.1.4","10065","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","15m",X
"35.243.1.4","10078","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","39m",-
"35.243.1.4","10072","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","31m",X
"35.243.1.4","10074","","","CONNECT","Elite","UNITED STATES","Public SSL","0,159","16m",X
"35.243.1.4","10075","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","17m",-
"35.243.1.4","10084","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","35m",-
"35.243.1.4","10086","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","15m",-
"35.243.1.4","10080","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","35m",X
"35.243.1.4","10082","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","39m",-
"35.243.1.4","10094","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","31m",-
"35.243.1.4","10088","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","31m",-
"35.243.1.4","10091","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,161","34m",X
"35.243.1.4","10100","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","39m",-
"35.243.1.4","10101","","","CONNECT","Elite","UNITED STATES","Public SSL","0,150","23m",-
"35.243.1.4","10099","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","39m",-
"35.243.1.4","10109","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","36m",-
"35.243.1.4","10111","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","34m",-
"35.243.1.4","10106","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","23m",-
"35.243.1.4","10114","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","31m",X
"35.243.1.4","10115","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","34m",X
"35.243.0.245","10135","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","23m",X
"35.243.0.243","10135","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","37m",X
"35.243.0.243","10115","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","24m",X
"35.243.0.249","10121","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","17m",-
"35.243.0.249","10120","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,160","32m",-
"35.243.0.243","10114","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","13m",-
"35.243.0.249","10123","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","20m",-
"35.243.0.245","10119","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","19m",X
"35.243.0.243","10112","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","34m",-
"35.243.0.249","10122","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","18m",-
"35.243.0.243","10119","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","17m",X
"35.243.0.245","10112","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","24m",-
"35.243.0.243","10117","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","36m",X
"35.243.0.245","10115","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","39m",-
"35.243.0.245","10114","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","32m",-
"35.243.0.243","10123","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","33m",-
"35.243.0.243","10122","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","32m",-
"35.243.0.249","10112","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","35m",X
"35.243.0.249","10115","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,159","34m",-
"35.243.0.243","10121","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","16m",-
"35.243.0.243","10120","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","37m",X
"35.243.0.249","10114","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","14m",X
"35.243.0.249","10117","","","CONNECT","Elite","UNITED STATES","Public SSL","0,161","19m",-
"35.243.0.245","10121","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","17m",-
"35.243.0.245","10120","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","19m",X
"35.243.0.249","10119","","","CONNECT","Elite","UNITED STATES","Public SSL","0,154","23m",-
"35.243.0.245","10123","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","13m",-
"35.243.0.245","10122","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","38m",X
"35.243.0.243","10099","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","19m",-
"35.243.0.245","10101","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","17m",-
"35.243.0.249","10105","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","15m",X
"35.243.0.249","10104","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","37m",X
"35.243.0.245","10100","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,159","40m",X
"35.243.0.243","10098","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","18m",X
"35.243.0.243","10096","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","32m",-
"35.243.0.249","10106","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","14m",-
"35.243.0.249","10109","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","14m",-
"35.243.0.245","10096","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","34m",-
"35.243.0.249","10111","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","31m",-
"35.243.0.243","10101","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","19m",X
"35.243.0.245","10099","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","19m",-
"35.243.0.245","10098","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","30m",X
"35.243.0.243","10100","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,154","39m",X
"35.243.0.245","10109","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","16m",-
"35.243.0.243","10106","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","36m",X
"35.243.0.249","10096","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","14m",X
"35.243.0.243","10105","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","32m",X
"35.243.0.249","10099","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","16m",-
"35.243.0.245","10111","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","15m",-
"35.243.0.249","10098","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","16m",-
"35.243.0.243","10104","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","15m",-
"35.243.0.249","10101","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","34m",-
"35.243.0.243","10111","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","19m",X
"35.243.0.245","10105","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","36m",X
"35.243.0.249","10100","","","CONNECT","Elite","UNITED STATES","Public SSL","0,160","19m",-
"35.243.0.245","10104","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","16m",-
"35.243.0.243","10109","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","31m",X
"35.243.0.245","10106","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","18m",-
"35.243.0.249","10089","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","37m",X
"35.243.0.243","10083","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","16m",X
"35.243.0.249","10088","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","33m",-
"35.243.0.245","10084","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","15m",-
"35.243.0.243","10082","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","15m",X
"35.243.0.245","10087","","","CONNECT","Elite","UNITED STATES","Public SSL","0,154","23m",-
"35.243.0.249","10091","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","14m",X
"35.243.0.243","10081","","","CONNECT","Elite","UNITED STATES","Public SSL","0,159","15m",-
"35.243.0.243","10080","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","18m",-
"35.243.0.245","10086","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","15m",X
"35.243.0.243","10087","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","37m",X
"35.243.0.245","10081","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","15m",-
"35.243.0.249","10093","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","24m",X
"35.243.0.243","10086","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","33m",X
"35.243.0.245","10080","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","13m",X
"35.243.0.249","10092","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","15m",-
"35.243.0.245","10083","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","17m",X
"35.243.0.245","10082","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","31m",-
"35.243.0.249","10094","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","17m",X
"35.243.0.245","10093","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","33m",-
"35.243.0.243","10091","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","37m",-
"35.243.0.249","10081","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","14m",-
"35.243.0.245","10092","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","36m",X
"35.243.0.249","10080","","","CONNECT","Elite","UNITED STATES","Public SSL","0,159","17m",-
"35.243.0.249","10083","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,154","38m",-
"35.243.0.243","10089","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","19m",X
"35.243.0.245","10094","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","39m",-
"35.243.0.243","10088","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","15m",-
"35.243.0.249","10082","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","16m",-
"35.243.0.245","10089","","","CONNECT","Elite","UNITED STATES","Public SSL","0,154","19m",X
"35.243.0.249","10084","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","36m",-
"35.243.0.245","10088","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","24m",-
"35.243.0.243","10094","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","14m",-
"35.243.0.249","10087","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","31m",X
